    Cost      path
0	 x	      	0
1	21       	6
2	 5	      	0
3	 3	      	0
4	15       	6
5	 6	      	2
6	13       	2
7	 9	      	5


    Cost      path
0	 0	       -1
1	11          3          	
2	 2          0
3	 3          0
4	 7          2 
5	11          2 0 2 5  0 3 1
6	10          7
7	11          4


    Cost      path
0	 0         -1
1	 4          0
2	 4          0
3	 3          0
4	 7          0
5	 9          3
6	 8          2
7	 9          4

    Cost      path
0	 0         -1
1	13          2
2	 8          0
3	17          1
4	 6          0
5	12          2
6	14          4
7	19          5
